"filename", "language", "JavaScript", "YAML", "JSON", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 33, 71
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\package-lock.json", "JSON", 0, 0, 30880, 0, 0, 0, 0, 1, 30881
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\package.json", "JSON", 0, 0, 58, 0, 0, 0, 0, 1, 59
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 1, 21
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\src\App.css", "CSS", 0, 0, 0, 67, 0, 0, 0, 15, 82
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\src\App.js", "JavaScript", 64, 0, 0, 0, 0, 0, 7, 7, 78
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\src\UserContext.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\src\api\axios.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\src\components\carousel.js", "JavaScript", 107, 0, 0, 0, 0, 0, 2, 7, 116
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\src\components\chatBot.js", "JavaScript", 333, 0, 0, 0, 0, 0, 0, 9, 342
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\src\components\drawer.js", "JavaScript", 164, 0, 0, 0, 0, 0, 1, 13, 178
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\src\components\footer.js", "JavaScript", 121, 0, 0, 0, 0, 0, 2, 5, 128
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\src\components\navbar.js", "JavaScript", 145, 0, 0, 0, 0, 0, 9, 9, 163
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\src\components\newsCarousel.css", "CSS", 0, 0, 0, 132, 0, 0, 0, 1, 133
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\src\components\newsCarousel.js", "JavaScript", 133, 0, 0, 0, 0, 0, 17, 9, 159
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\src\components\services.js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 4, 90
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\src\components\testimonials.js", "JavaScript", 105, 0, 0, 0, 0, 0, 1, 6, 112
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\src\data\college-data.json", "JSON", 0, 0, 443, 0, 0, 0, 0, 0, 443
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\src\data\testimonials-data.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\src\index.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 2, 11
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\src\pages\about.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 11, 104
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\src\pages\account.js", "JavaScript", 203, 0, 0, 0, 0, 0, 2, 11, 216
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\src\pages\colleges.js", "JavaScript", 312, 0, 0, 0, 0, 0, 2, 19, 333
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\src\pages\faq.js", "JavaScript", 738, 0, 0, 0, 0, 0, 0, 9, 747
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\src\pages\home.js", "JavaScript", 127, 0, 0, 0, 0, 0, 2, 3, 132
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\src\pages\login.js", "JavaScript", 119, 0, 0, 0, 0, 0, 4, 16, 139
"c:\Users\91639\Desktop\Expert Educational Consultancy\client\src\pages\register.js", "JavaScript", 137, 0, 0, 0, 0, 0, 3, 12, 152
"c:\Users\91639\Desktop\Expert Educational Consultancy\projbackend\CollegeList.json", "JSON", 0, 0, 541, 0, 0, 0, 0, 0, 541
"c:\Users\91639\Desktop\Expert Educational Consultancy\projbackend\app.js", "JavaScript", 54, 0, 0, 0, 0, 0, 11, 11, 76
"c:\Users\91639\Desktop\Expert Educational Consultancy\projbackend\config\dbConn.js", "JavaScript", 16, 0, 0, 0, 0, 0, 1, 3, 20
"c:\Users\91639\Desktop\Expert Educational Consultancy\projbackend\controllers\collegeController.js", "JavaScript", 15, 0, 0, 0, 0, 0, 3, 5, 23
"c:\Users\91639\Desktop\Expert Educational Consultancy\projbackend\controllers\homeController.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\91639\Desktop\Expert Educational Consultancy\projbackend\controllers\userController.js", "JavaScript", 247, 0, 0, 0, 0, 0, 54, 45, 346
"c:\Users\91639\Desktop\Expert Educational Consultancy\projbackend\index.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\91639\Desktop\Expert Educational Consultancy\projbackend\middlewares\userMiddleware.js", "JavaScript", 25, 0, 0, 0, 0, 0, 4, 5, 34
"c:\Users\91639\Desktop\Expert Educational Consultancy\projbackend\models\College.js", "JavaScript", 37, 0, 0, 0, 0, 0, 8, 3, 48
"c:\Users\91639\Desktop\Expert Educational Consultancy\projbackend\models\User.js", "JavaScript", 72, 0, 0, 0, 0, 0, 13, 11, 96
"c:\Users\91639\Desktop\Expert Educational Consultancy\projbackend\package-lock.json", "JSON", 0, 0, 3513, 0, 0, 0, 0, 1, 3514
"c:\Users\91639\Desktop\Expert Educational Consultancy\projbackend\package.json", "JSON", 0, 0, 33, 0, 0, 0, 0, 1, 34
"c:\Users\91639\Desktop\Expert Educational Consultancy\projbackend\routes\collegeRoutes.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\91639\Desktop\Expert Educational Consultancy\projbackend\routes\homeRoutes.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 4, 9
"c:\Users\91639\Desktop\Expert Educational Consultancy\projbackend\routes\userRoutes.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\91639\Desktop\Expert Educational Consultancy\projbackend\swagger.yaml", "YAML", 0, 81, 0, 0, 0, 0, 0, 5, 86
"c:\Users\91639\Desktop\Expert Educational Consultancy\projbackend\utils\BigPromise.js", "JavaScript", 3, 0, 0, 0, 0, 0, 2, 1, 6
"c:\Users\91639\Desktop\Expert Educational Consultancy\projbackend\utils\customErr.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\91639\Desktop\Expert Educational Consultancy\projbackend\utils\dataHandler.js", "JavaScript", 12, 0, 0, 0, 0, 0, 4, 3, 19
"c:\Users\91639\Desktop\Expert Educational Consultancy\projbackend\utils\mailHelper.js", "JavaScript", 19, 0, 0, 0, 0, 0, 4, 5, 28
"c:\Users\91639\Desktop\Expert Educational Consultancy\projbackend\utils\whereClause.js", "JavaScript", 52, 0, 0, 0, 0, 0, 14, 18, 84
"Total", "-", 3644, 81, 35493, 199, 38, 20, 172, 342, 39989